value,ioc_type,category,confidence,tlp,sources,tags,first_seen,last_seen,description
50.116.26.161,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
45.79.207.110,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/ssh|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
69.164.217.74,ipv4,threat,high,WHITE,capelabs/threatmesh|blocklist.de/bots|blocklist.de/all|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.169.48.182,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
20.163.34.54,ipv4,threat,medium,WHITE,capelabs/threatmesh|ziyadnz/hourly-ipv4,capelabs|threatmesh|blocklist.de|bot|irc-bot|ssh|brute-force|ziyadnz|hourly,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/stats.json,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/filtered_malicious_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/master_malicious_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/master_c2_iplist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/threatfoxallips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/threatfoxhighconfidenceips.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/osinthoneypotfeed.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/ip_ioc_maltrail.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
https://spydisec.com/maliciousblocklist.txt,url,threat,medium,WHITE,spydisec/stats,spydisec,2026-06-20T19:46:38Z,2026-06-20T19:46:38Z,
